"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050776","BP","GO:0050776","regulation of immune response","8/158","175/18057",0.000155362813344509,0.00671788804901657,0.0055865196882615,"570830/100537110/558139/403139/570832/792472/792160/567444",8
"GO:0090594","BP","GO:0090594","inflammatory response to wounding","3/158","13/18057",0.000176269585339863,0.00732874699047659,0.0060945030720746,"562007/30554/406397",3
"GO:0014070","BP","GO:0014070","response to organic cyclic compound","7/158","138/18057",0.000213653345461521,0.00832824457764861,0.00692567395619253,"405770/565656/402837/140634/445232/100004700/378727",7
"GO:0002684","BP","GO:0002684","positive regulation of immune system process","9/158","233/18057",0.000215717713389603,0.00832824457764861,0.00692567395619253,"100005593/368917/100537110/558139/403139/570832/792472/567444/406397",9
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","6/158","99/18057",0.000233913371109599,0.00871932255756814,0.00725088997922313,"795785/387293/405770/406471/100170820/568326",6
"GO:0046686","BP","GO:0046686","response to cadmium ion","3/158","15/18057",0.000276843879987255,0.00997560780887409,0.00829560257926722,"100174951/100126123/560210",3
"GO:0009615","BP","GO:0009615","response to virus","6/158","104/18057",0.000305611048461101,0.0106569530124661,0.00886220154111307,"405770/561067/406471/393939/792160/568326",6
"GO:0006509","BP","GO:0006509","membrane protein ectodomain proteolysis","3/158","16/18057",0.000338547271129245,0.0110948274768263,0.00922633299109953,"100005593/368917/406650",3
"GO:0060326","BP","GO:0060326","cell chemotaxis","6/158","106/18057",0.000338695010855937,0.0110948274768263,0.00922633299109953,"795785/387293/405770/406471/100170820/568326",6
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","5/158","71/18057",0.000393612591368322,0.0125145650373281,0.0104069706819984,"795785/405770/406471/100170820/568326",5
"GO:0033993","BP","GO:0033993","response to lipid","7/158","159/18057",0.000504768878517458,0.0155901473622106,0.0129645901429747,"795785/405770/565656/402837/100004095/100004700/378727",7
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","4/158","44/18057",0.000583356547777984,0.0170434710310271,0.0141731576615192,"558139/570832/100135062/503594",4
"GO:0019724","BP","GO:0019724","B cell mediated immunity","4/158","44/18057",0.000583356547777984,0.0170434710310271,0.0141731576615192,"558139/570832/100135062/503594",4
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","5/158","79/18057",0.000644212048825403,0.0180718799011654,0.015028370841419,"795785/405770/406471/100170820/568326",5
"GO:1901700","BP","GO:1901700","response to oxygen-containing compound","11/158","390/18057",0.000655126936185725,0.0180718799011654,0.015028370841419,"795785/405770/100330897/402837/100004095/100536659/445232/393510/30767/100004700/378727",11
"GO:0030574","BP","GO:0030574","collagen catabolic process","3/158","20/18057",0.000671704654625183,0.0180718799011654,0.015028370841419,"387293/678531/406397",3
"GO:0002253","BP","GO:0002253","activation of immune response","6/158","121/18057",0.000685427452310619,0.0180718799011654,0.015028370841419,"100537110/558139/403139/570832/792472/567444",6
"GO:0030162","BP","GO:0030162","regulation of proteolysis","8/158","224/18057",0.00081014234195437,0.0208515207536351,0.0173398887225321,"751765/100005593/368917/569051/436641/406650/100136840/557302",8
"GO:0015711","BP","GO:0015711","organic anion transport","8/158","226/18057",0.000858179713303223,0.0211383172549986,0.0175783854479467,"368885/791156/100330897/795588/566075/564474/791185/561766",8
"GO:1901701","BP","GO:1901701","cellular response to oxygen-containing compound","9/158","282/18057",0.000860394041831581,0.0211383172549986,0.0175783854479467,"795785/405770/402837/100004095/100536659/445232/393510/30767/378727",9
"GO:0033619","BP","GO:0033619","membrane protein proteolysis","3/158","22/18057",0.000895822712578748,0.0215196522732806,0.0178954993343217,"100005593/368917/406650",3
"GO:0032101","BP","GO:0032101","regulation of response to external stimulus","8/158","238/18057",0.00119666721300198,0.0281216795055465,0.0233856704783453,"100006778/406471/403139/792160/567444/558477/100136840/406397",8
"GO:0032870","BP","GO:0032870","cellular response to hormone stimulus","7/158","186/18057",0.00126907690806695,0.0291660858392559,0.0242541869679386,"402837/79378/565104/393510/30767/378727/799475",7
"GO:0080134","BP","GO:0080134","regulation of response to stress","9/158","299/18057",0.00129507134161358,0.0291660858392559,0.0242541869679386,"100006778/406471/403139/792160/567444/558477/557526/100136840/406397",9
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","5/158","94/18057",0.00141282095115647,0.0300672531021655,0.0250035874670133,"751765/569051/406650/100136840/557302",5
"GO:0071396","BP","GO:0071396","cellular response to lipid","5/158","94/18057",0.00141282095115647,0.0300672531021655,0.0250035874670133,"795785/405770/402837/100004095/378727",5
"GO:0006835","BP","GO:0006835","dicarboxylic acid transport","3/158","26/18057",0.00147415764515705,0.0300672531021655,0.0250035874670133,"368885/564474/791185",3
"GO:0038061","BP","GO:0038061","NIK/NF-kappaB signaling","3/158","26/18057",0.00147415764515705,0.0300672531021655,0.0250035874670133,"405770/415100/557526",3
"GO:0046503","BP","GO:0046503","glycerolipid catabolic process","3/158","26/18057",0.00147415764515705,0.0300672531021655,0.0250035874670133,"30554/492483/436610",3
"GO:0050778","BP","GO:0050778","positive regulation of immune response","6/158","141/18057",0.00151508514702295,0.0303297600728113,0.0252218852935204,"100537110/558139/403139/570832/792472/567444",6
"GO:0006959","BP","GO:0006959","humoral immune response","4/158","57/18057",0.00155448491840577,0.0305526944872116,0.0254072750300197,"795785/558139/570832/792472",4
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","4/158","59/18057",0.00176702637584346,0.0341099198622639,0.0283654234016976,"558139/570832/100135062/503594",4
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","5/158","102/18057",0.00202746774824142,0.0378791886035312,0.0314999046374368,"751765/100005593/368917/436641/557302",5
"GO:0032963","BP","GO:0032963","collagen metabolic process","3/158","29/18057",0.00203237089639668,0.0378791886035312,0.0314999046374368,"387293/678531/406397",3
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","6/158","151/18057",0.00214385402745362,0.039279766164023,0.0326646090891238,"751765/569051/436641/406650/100136840/557302",6
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","4/158","63/18057",0.00225106985962114,0.0405567753041742,0.0337265554406395,"558139/570832/100135062/503594",4
"GO:0008285","BP","GO:0008285","negative regulation of cell population proliferation","5/158","107/18057",0.00249915841224568,0.0442883646497964,0.0368297029173047,"100538016/317638/792160/30269/406397",5
"GO:0009611","BP","GO:0009611","response to wounding","6/158","159/18057",0.00277478679332724,0.0483797503804314,0.0402320529966293,"100006778/562007/30554/558477/100136840/406397",6
"GO:0015291","MF","GO:0015291","secondary active transmembrane transporter activity","11/146","230/17701",3.29897342571014e-06,0.000752165941061913,0.000597287820233837,"368885/565439/568258/566075/564474/791185/100150452/393510/387592/560601/406458",11
"GO:0022804","MF","GO:0022804","active transmembrane transporter activity","12/146","379/17701",7.30695232294405e-05,0.00654864492275679,0.00520021665149662,"368885/565439/568258/566075/564474/791185/100150452/393510/387592/566555/560601/406458",12
"GO:0140375","MF","GO:0140375","immune receptor activity","6/146","89/17701",9.40321482740094e-05,0.00654864492275679,0.00520021665149662,"100006778/100537110/565104/100135062/503594/799475",6
"GO:0019955","MF","GO:0019955","cytokine binding","5/146","58/17701",0.000114888507416786,0.00654864492275679,0.00520021665149662,"795785/100006778/406471/565104/503594",5
"GO:0015293","MF","GO:0015293","symporter activity","7/146","141/17701",0.000169189973705293,0.00718715714942045,0.00570725313804394,"368885/565439/564474/100150452/393510/387592/406458",7
"GO:0004222","MF","GO:0004222","metalloendopeptidase activity","6/146","101/17701",0.000189135714458433,0.00718715714942045,0.00570725313804394,"387293/678531/100005593/368917/569618/406397",6
"GO:0004896","MF","GO:0004896","cytokine receptor activity","5/146","77/17701",0.000437015392719892,0.0137787747827907,0.0109415940103416,"100006778/565104/100135062/503594/799475",5
"GO:0005355","MF","GO:0005355","glucose transmembrane transporter activity","3/146","19/17701",0.000483465781852304,0.0137787747827907,0.0109415940103416,"100330897/393510/560602",3
"GO:0004175","MF","GO:0004175","endopeptidase activity","11/146","419/17701",0.000719150540506132,0.0182184803594887,0.0144671219844508,"387293/678531/101886133/100005593/368917/436641/792472/554458/569618/406397/557302",11
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity","6/146","141/17701",0.00111757061482172,0.0218464022209146,0.0173480202308279,"368885/791156/795588/564474/791185/561766",6
"GO:0015145","MF","GO:0015145","monosaccharide transmembrane transporter activity","3/146","26/17701",0.00124355721507208,0.0218464022209146,0.0173480202308279,"100330897/393510/560602",3
"GO:0015149","MF","GO:0015149","hexose transmembrane transporter activity","3/146","26/17701",0.00124355721507208,0.0218464022209146,0.0173480202308279,"100330897/393510/560602",3
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity","6/146","144/17701",0.00124562819680653,0.0218464022209146,0.0173480202308279,"368885/791156/795588/564474/791185/561766",6
"GO:0051119","MF","GO:0051119","sugar transmembrane transporter activity","3/146","27/17701",0.00139059573651047,0.022646844851742,0.0179836441112632,"100330897/393510/560602",3
"GO:0015297","MF","GO:0015297","antiporter activity","4/146","67/17701",0.00227585493272321,0.0345929949773927,0.0274699683107643,"568258/566075/791185/560601",4
"GO:0002020","MF","GO:0002020","protease binding","2/146","10/17701",0.00291144441014965,0.0409307529240424,0.0325027216201999,"368917/406650",2
"GO:0008237","MF","GO:0008237","metallopeptidase activity","6/146","172/17701",0.00305185438468737,0.0409307529240424,0.0325027216201999,"387293/678531/100005593/368917/569618/406397",6
"GO:0005126","MF","GO:0005126","cytokine receptor binding","5/146","124/17701",0.0036583666953102,0.0463393114739293,0.0367976065259272,"795785/405770/100170820/568326/557526",5
"GO:0003810","MF","GO:0003810","protein-glutamine gamma-glutamyltransferase activity","2/146","12/17701",0.00422417324532716,0.0481555749967296,0.0382398841155932,"559012/100334173",2
"GO:0008271","MF","GO:0008271","secondary active sulfate transmembrane transporter activity","2/146","12/17701",0.00422417324532716,0.0481555749967296,0.0382398841155932,"791185/387592",2
