"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00564","dre00564","Glycerophospholipid metabolism - Danio rerio (zebrafish)","5/121","112/7368",0.0367318737791305,0.19054659522924,0.161910233105378,"799099/570695/571938/492483/793137",5
"dre00040","dre00040","Pentose and glucuronate interconversions - Danio rerio (zebrafish)","3/121","56/7368",0.0639161542248276,0.284006987037204,0.241324897038588,"767756/100384895/406731",3
"dre00053","dre00053","Ascorbate and aldarate metabolism - Danio rerio (zebrafish)","3/121","57/7368",0.0666894688180842,0.284006987037204,0.241324897038588,"767756/100384895/406731",3
"dre00340","dre00340","Histidine metabolism - Danio rerio (zebrafish)","2/121","26/7368",0.0673006876174916,0.284006987037204,0.241324897038588,"555401/100004331",2
"dre04137","dre04137","Mitophagy - animal - Danio rerio (zebrafish)","4/121","94/7368",0.0684354185631816,0.284006987037204,0.241324897038588,"100330105/402792/793200/100170793",4
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","2/121","28/7368",0.0766520188453352,0.302957979245849,0.257427832713657,"394148/558239",2
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","3/121","65/7368",0.0907718044256438,0.342457262151292,0.290990951986514,"406323/406338/322468",3
"dre00860","dre00860","Porphyrin metabolism - Danio rerio (zebrafish)","3/121","67/7368",0.0972894649327055,0.351088069104981,0.298324675079692,"767756/100384895/406731",3
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","6/121","202/7368",0.114644903385191,0.396480290873785,0.336895110824903,"574009/767756/100384895/407663/571967/406731",6
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","2/121","39/7368",0.134039867502934,0.445012360109739,0.378133520955644,"30207/58074",2
"dre04060","dre04060","Cytokine-cytokine receptor interaction - Danio rerio (zebrafish)","6/121","224/7368",0.162346950434631,0.518261418695168,0.440374318992724,"571368/100037357/799527/100174902/407651/799279",6
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","3/121","94/7368",0.20044511194386,0.607776625175328,0.516436701163564,"394148/100004228/558239",3
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","3/121","96/7368",0.208935664375629,0.607776625175328,0.516436701163564,"393285/100037357/445118",3
"dre00380","dre00380","Tryptophan metabolism - Danio rerio (zebrafish)","2/121","53/7368",0.216103094927171,0.607776625175328,0.516436701163564,"555401/571967",2
"dre04916","dre04916","Melanogenesis - Danio rerio (zebrafish)","4/121","147/7368",0.221905482147749,0.607776625175328,0.516436701163564,"30442/798222/30207/58074",4
"dre00730","dre00730","Thiamine metabolism - Danio rerio (zebrafish)","1/121","16/7368",0.232956417652263,0.607776625175328,0.516436701163564,"574009",1
"dre00565","dre00565","Ether lipid metabolism - Danio rerio (zebrafish)","2/121","56/7368",0.234323518139886,0.607776625175328,0.516436701163564,"571938/751651",2
"dre00590","dre00590","Arachidonic acid metabolism - Danio rerio (zebrafish)","2/121","63/7368",0.277095155139921,0.68897219445925,0.585429765742166,"393108/100034366",2
"dre00430","dre00430","Taurine and hypotaurine metabolism - Danio rerio (zebrafish)","1/121","20/7368",0.28222957363391,0.68897219445925,0.585429765742166,"557628",1
"dre00910","dre00910","Nitrogen metabolism - Danio rerio (zebrafish)","1/121","21/7368",0.294049146523172,0.697316547469237,0.592520084723384,"553246",1
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/121","68/7368",0.307605153126632,0.709200769708623,0.602618282441062,"556522/555401",2
"dre03250","dre03250","Viral life cycle - HIV-1 - Danio rerio (zebrafish)","2/121","73/7368",0.337871004981786,0.757926849013197,0.644021545768981,"563942/797545",2
"dre04625","dre04625","C-type lectin receptor signaling pathway - Danio rerio (zebrafish)","3/121","129/7368",0.355857420237179,0.777267523149627,0.660455599886177,"565241/565656/565200",3
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","2/121","84/7368",0.402879672894504,0.834604499092896,0.709175668220977,"572849/100003615",2
"dre04330","dre04330","Notch signaling pathway - Danio rerio (zebrafish)","2/121","84/7368",0.402879672894504,0.834604499092896,0.709175668220977,"563942/503940",2
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","3/121","145/7368",0.427164356969213,0.834604499092896,0.709175668220977,"64612/797199/140512",3
"dre00790","dre00790","Folate biosynthesis - Danio rerio (zebrafish)","1/121","34/7368",0.431225524920004,0.834604499092896,0.709175668220977,"574009",1
"dre05168","dre05168","Herpes simplex virus 1 infection - Danio rerio (zebrafish)","4/121","204/7368",0.432385463385476,0.834604499092896,0.709175668220977,"571368/30491/565074/565200",4
"dre04150","dre04150","mTOR signaling pathway - Danio rerio (zebrafish)","4/121","208/7368",0.447109482970735,0.843411070149342,0.716658740646872,"792689/562032/799099/100170793",4
"dre04020","dre04020","Calcium signaling pathway - Danio rerio (zebrafish)","7/121","391/7368",0.463323129017735,0.854573771299378,0.726143851326041,"30442/565241/798222/100134855/797199/570240/568126",7
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","2/121","102/7368",0.502183647756808,0.888964348529012,0.755366028553505,"100004228/449821",2
"dre04620","dre04620","Toll-like receptor signaling pathway - Danio rerio (zebrafish)","2/121","106/7368",0.522799484224005,0.888964348529012,0.755366028553505,"403139/403138",2
"dre00051","dre00051","Fructose and mannose metabolism - Danio rerio (zebrafish)","1/121","45/7368",0.526401081134413,0.888964348529012,0.755366028553505,"554477",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","3/121","173/7368",0.544248335267946,0.888964348529012,0.755366028553505,"100330105/565200/793200",3
"dre04012","dre04012","ErbB signaling pathway - Danio rerio (zebrafish)","2/121","111/7368",0.547762726623893,0.888964348529012,0.755366028553505,"798222/100151464",2
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","1/121","48/7368",0.549494641364318,0.888964348529012,0.755366028553505,"447815",1
"dre04744","dre04744","Phototransduction - Danio rerio (zebrafish)","1/121","49/7368",0.556941519560345,0.888964348529012,0.755366028553505,"30503",1
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","3/121","180/7368",0.571351477516727,0.894757974224308,0.760288957172208,"393285/445118/100001260",3
"dre00513","dre00513","Various types of N-glycan biosynthesis - Danio rerio (zebrafish)","1/121","53/7368",0.585527760729056,0.899977854453919,0.764724365864459,"100333333",1
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","4/121","254/7368",0.604886104269081,0.912828120987885,0.775643425569922,"566034/100008376/100149148/100002040",4
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","3/121","197/7368",0.632930557237611,0.929083162460492,0.789455572414115,"571368/798222/565200",3
"dre04216","dre04216","Ferroptosis - Danio rerio (zebrafish)","1/121","62/7368",0.643331793858202,0.929083162460492,0.789455572414115,"100330105",1
"dre00510","dre00510","N-Glycan biosynthesis - Danio rerio (zebrafish)","1/121","63/7368",0.649238836418175,0.929083162460492,0.789455572414115,"100333333",1
"dre04340","dre04340","Hedgehog signaling pathway - Danio rerio (zebrafish)","1/121","69/7368",0.682697791674187,0.956147408707007,0.812452458888643,"101886177",1
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","2/121","148/7368",0.703757025120458,0.956147408707007,0.812452458888643,"100003066/140512",2
"dre00600","dre00600","Sphingolipid metabolism - Danio rerio (zebrafish)","1/121","74/7368",0.708147436574548,0.956147408707007,0.812452458888643,"100332380",1
"dre04114","dre04114","Oocyte meiosis - Danio rerio (zebrafish)","2/121","151/7368",0.714230594455837,0.956147408707007,0.812452458888643,"565241/798222",2
"dre00010","dre00010","Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)","1/121","81/7368",0.740410028752845,0.957908361768432,0.813948766499492,"445118",1
"dre04370","dre04370","VEGF signaling pathway - Danio rerio (zebrafish)","1/121","81/7368",0.740410028752845,0.957908361768432,0.813948766499492,"565241",1
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","2/121","166/7368",0.762068639467961,0.957908361768432,0.813948766499492,"571011/436981",2
"dre04115","dre04115","p53 signaling pathway - Danio rerio (zebrafish)","1/121","90/7368",0.776743576880213,0.957908361768432,0.813948766499492,"100151464",1
"dre04261","dre04261","Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)","3/121","249/7368",0.782083485983602,0.957908361768432,0.813948766499492,"64612/798222/797199",3
"dre00562","dre00562","Inositol phosphate metabolism - Danio rerio (zebrafish)","1/121","97/7368",0.801474853296739,0.957908361768432,0.813948766499492,"566188",1
"dre04145","dre04145","Phagosome - Danio rerio (zebrafish)","2/121","183/7368",0.807821696725441,0.957908361768432,0.813948766499492,"30491/565074",2
"dre04142","dre04142","Lysosome - Danio rerio (zebrafish)","2/121","184/7368",0.81025498446793,0.957908361768432,0.813948766499492,"550415/65225",2
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","5/121","420/7368",0.827730763613362,0.957908361768432,0.813948766499492,"565241/100000665/353314/570240/799279",5
"dre04371","dre04371","Apelin signaling pathway - Danio rerio (zebrafish)","2/121","193/7368",0.830956651172616,0.957908361768432,0.813948766499492,"100330105/797199",2
"dre04218","dre04218","Cellular senescence - Danio rerio (zebrafish)","2/121","201/7368",0.84764064892566,0.963755806312737,0.818917425782541,"565241/100151464",2
"dre04310","dre04310","Wnt signaling pathway - Danio rerio (zebrafish)","2/121","225/7368",0.889149697231902,0.971769956559649,0.825727166639144,"565241/798222",2
"dre04540","dre04540","Gap junction - Danio rerio (zebrafish)","1/121","132/7368",0.889813454199197,0.971769956559649,0.825727166639144,"568126",1
"dre04912","dre04912","GnRH signaling pathway - Danio rerio (zebrafish)","1/121","132/7368",0.889813454199197,0.971769956559649,0.825727166639144,"798222",1
"dre04350","dre04350","TGF-beta signaling pathway - Danio rerio (zebrafish)","1/121","153/7368",0.9227111074618,0.992271781833404,0.843147867886342,"797559",1
"dre04120","dre04120","Ubiquitin mediated proteolysis - Danio rerio (zebrafish)","1/121","161/7368",0.932496373289223,0.992271781833404,0.843147867886342,"559981",1
"dre04110","dre04110","Cell cycle - Danio rerio (zebrafish)","1/121","191/7368",0.959423270925201,0.996672432221398,0.846887164982038,"100151464",1
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","1/121","201/7368",0.965771603321191,0.996672432221398,0.846887164982038,"65225",1
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","2/121","332/7368",0.975466659260545,0.996672432221398,0.846887164982038,"403139/403138",2
"dre04530","dre04530","Tight junction - Danio rerio (zebrafish)","1/121","248/7368",0.98466433062837,0.996672432221398,0.846887164982038,"101884950",1
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","1/121","341/7368",0.996917807925359,0.996917807925359,0.847095664311973,"387529",1
