"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","2/23","278/7368",0.214675195582306,0.372364234059543,0.285063528466636,"567640/567928",2
"dre00010","dre00010","Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)","1/23","81/7368",0.224798866399929,0.372364234059543,0.285063528466636,"378727",1
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","1/23","84/7368",0.232117039078197,0.372364234059543,0.285063528466636,"572849",1
"dre03018","dre03018","RNA degradation - Danio rerio (zebrafish)","1/23","86/7368",0.236959058037891,0.372364234059543,0.285063528466636,"321035",1
"dre03083","dre03083","Polycomb repressive complex - Danio rerio (zebrafish)","1/23","90/7368",0.246555626093548,0.374084398210901,0.28638040054423,"550551",1
"dre03015","dre03015","mRNA surveillance pathway - Danio rerio (zebrafish)","1/23","99/7368",0.267727595122362,0.389836553487394,0.298439466784608,"321035",1
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","1/23","102/7368",0.274657571775209,0.389836553487394,0.298439466784608,"334561",1
"dre04620","dre04620","Toll-like receptor signaling pathway - Danio rerio (zebrafish)","1/23","106/7368",0.28380001203624,0.390225016549831,0.29873685477499,"394198",1
"dre00564","dre00564","Glycerophospholipid metabolism - Danio rerio (zebrafish)","1/23","112/7368",0.297307286661245,0.396409715548326,0.303471552572881,"799099",1
"dre01200","dre01200","Carbon metabolism - Danio rerio (zebrafish)","1/23","134/7368",0.344779312989404,0.446184993280405,0.341577028348636,"406688",1
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","1/23","145/7368",0.36734934606566,0.461810606482544,0.353539220273718,"64612",1
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","2/23","420/7368",0.38043018393969,0.464970224815177,0.355958066844155,"394198/373121",2
"dre04120","dre04120","Ubiquitin mediated proteolysis - Danio rerio (zebrafish)","1/23","161/7368",0.398855352174746,0.474314472856454,0.363111558167621,"335409",1
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","1/23","201/7368",0.471189568836795,0.518298458730849,0.396783509076248,"394198",1
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","1/23","202/7368",0.472886602451522,0.518298458730849,0.396783509076248,"564649",1
"dre05168","dre05168","Herpes simplex virus 1 infection - Danio rerio (zebrafish)","1/23","204/7368",0.476265055001428,0.518298458730849,0.396783509076248,"335409",1
"dre04150","dre04150","mTOR signaling pathway - Danio rerio (zebrafish)","1/23","208/7368",0.482959927453746,0.518298458730849,0.396783509076248,"799099",1
"dre04310","dre04310","Wnt signaling pathway - Danio rerio (zebrafish)","1/23","225/7368",0.510510878521167,0.534820920355508,0.409432283525748,"564241",1
"dre04261","dre04261","Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)","1/23","249/7368",0.54702632672803,0.559747869210078,0.428515115184749,"64612",1
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","1/23","332/7368",0.654261474516384,0.654261474516384,0.500870028337902,"394198",1
