"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015718","BP","GO:0015718","monocarboxylic acid transport","15/709","84/18057",8.35455376823166e-07,7.95273951556909e-05,7.3578701607935e-05,"30708/571189/445158/568032/171481/449677/100141334/791484/407736/415166/447807/561766/436636/415102/393329",15
"GO:0015711","BP","GO:0015711","organic anion transport","26/709","226/18057",9.50258802962374e-07,8.63439703237176e-05,7.98853931485594e-05,"30708/571189/445158/557757/336741/568032/171481/449677/322493/564474/100141334/791484/407736/399488/415166/503788/447807/561766/563896/436636/100007793/641560/415102/406541/266721/393329",26
"GO:1901615","BP","GO:1901615","organic hydroxy compound metabolic process","25/709","226/18057",3.13762246723156e-06,0.000272700317912865,0.000252302181918803,"556575/393761/550422/560753/336673/445281/394148/692332/449556/406290/436600/751641/796295/100873093/100004700/564868/378727/415103/63999/368270/565876/402831/378440/322529/58074",25
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","11/709","52/18057",4.39214071964225e-06,0.000365828720773536,0.000338464528263659,"492484/569245/100034406/100034366/393592/431754/431734/768288/393484/449790/368270",11
"GO:0044282","BP","GO:0044282","small molecule catabolic process","24/709","219/18057",5.7849167719261e-06,0.000462561945083211,0.000427962053401017,"450052/402979/436604/436664/558601/560753/563642/436754/449677/561410/394148/692332/556445/559958/393147/431754/393315/100004700/378727/492517/415102/436852/445287/571967",24
"GO:0006066","BP","GO:0006066","alcohol metabolic process","20/709","172/18057",1.43119818632936e-05,0.00110037122095092,0.00101806283942538,"556575/393761/550422/560753/336673/445281/394148/692332/449556/406290/436600/796295/100873093/564868/378727/63999/565876/402831/378440/322529",20
"GO:0006081","BP","GO:0006081","cellular aldehyde metabolic process","9/709","40/18057",1.9305899413434e-05,0.00139401531994656,0.0012897421959117,"564844/560753/393724/79378/557008/793849/84039/378440/322529",9
"GO:0042574","BP","GO:0042574","retinal metabolic process","5/709","10/18057",1.96742264509817e-05,0.00139401531994656,0.0012897421959117,"393724/793849/84039/378440/322529",5
"GO:0006869","BP","GO:0006869","lipid transport","24/709","236/18057",2.04841658263813e-05,0.00139401531994656,0.0012897421959117,"30708/393952/571189/30077/557317/556979/568032/171481/449677/100149582/100148022/100141334/791484/407736/415166/563054/447807/567972/799873/436636/564868/415102/63999/393329",24
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","12/709","72/18057",2.16180464824129e-05,0.00139401531994656,0.0012897421959117,"436618/436716/550575/101882119/557053/541319/393820/799637/30582/568691/30503/360151",12
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus","12/709","72/18057",2.16180464824129e-05,0.00139401531994656,0.0012897421959117,"436618/436716/550575/101882119/557053/541319/393820/799637/30582/568691/30503/360151",12
"GO:0015908","BP","GO:0015908","fatty acid transport","10/709","53/18057",3.45118288351509e-05,0.00209058017701414,0.00193420361286635,"30708/568032/171481/449677/100141334/791484/407736/415166/436636/415102",10
"GO:0071482","BP","GO:0071482","cellular response to light stimulus","10/709","53/18057",3.45118288351509e-05,0.00209058017701414,0.00193420361286635,"436716/550575/101882119/557053/541319/393820/30582/568691/30503/360151",10
"GO:0017004","BP","GO:0017004","cytochrome complex assembly","7/709","26/18057",4.77962242001848e-05,0.00281013682871087,0.00259993702537848,"100141351/436985/436771/100190888/100334510/100150991/751633",7
"GO:0010876","BP","GO:0010876","lipid localization","24/709","250/18057",5.22820133530426e-05,0.0029147907240389,0.00269676275092091,"30708/393952/571189/30077/557317/556979/568032/171481/449677/100149582/100148022/100141334/791484/407736/415166/563054/447807/567972/799873/436636/564868/415102/63999/393329",24
"GO:0006766","BP","GO:0006766","vitamin metabolic process","9/709","45/18057",5.24924792723364e-05,0.0029147907240389,0.00269676275092091,"556575/100141334/791484/556528/436726/100004700/415102/565876/402831",9
"GO:0071478","BP","GO:0071478","cellular response to radiation","10/709","62/18057",0.0001384531444444,0.00748021177687447,0.00692068776070585,"436716/550575/101882119/557053/541319/393820/30582/568691/30503/360151",10
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","8/709","41/18057",0.000164309039962037,0.00842189156113106,0.00779192937147904,"335716/30084/559659/402883/326977/81541/798291/570370",8
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","8/709","41/18057",0.000164309039962037,0.00842189156113106,0.00779192937147904,"335716/30084/559659/402883/326977/81541/798291/570370",8
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","9/709","52/18057",0.00017054494844259,0.00852298379841843,0.00788545985299027,"796997/393497/100141351/436985/563956/100190888/100334510/569482/751633",9
"GO:0016125","BP","GO:0016125","sterol metabolic process","11/709","77/18057",0.000199396970766217,0.00972181816004066,0.0089946207352052,"336673/445281/394148/692332/436600/751641/100873093/564868/63999/565876/402831",11
"GO:0008535","BP","GO:0008535","respiratory chain complex IV assembly","5/709","16/18057",0.000280093624458179,0.0130210966346953,0.0120471113383848,"100141351/436985/100334510/100150991/751633",5
"GO:0042572","BP","GO:0042572","retinol metabolic process","5/709","16/18057",0.000280093624458179,0.0130210966346953,0.0120471113383848,"556575/393761/449556/378440/322529",5
"GO:0120254","BP","GO:0120254","olefinic compound metabolic process","8/709","45/18057",0.000322785308310918,0.0146647234389438,0.013567793940246,"556575/393761/393724/449556/793849/84039/378440/322529",8
"GO:0007631","BP","GO:0007631","feeding behavior","6/709","25/18057",0.000334972612201263,0.0148683769191109,0.0137562140264226,"793458/30281/30211/30262/557301/266721",6
"GO:0008203","BP","GO:0008203","cholesterol metabolic process","10/709","69/18057",0.000342143741010055,0.0148683769191109,0.0137562140264226,"336673/445281/394148/692332/436600/100873093/564868/63999/565876/402831",10
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","10/709","70/18057",0.000385366562391075,0.016390377834463,0.0151643684237653,"550398/393761/336673/394148/436600/751641/327462/63999/565876/402831",10
"GO:0009072","BP","GO:0009072","aromatic amino acid metabolic process","6/709","26/18057",0.000421125528601584,0.0171802026872361,0.0158951139366914,"436754/561410/415103/445287/571967/58074",6
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","6/709","26/18057",0.000421125528601584,0.0171802026872361,0.0158951139366914,"559659/402883/326977/81541/798291/570370",6
"GO:0007602","BP","GO:0007602","phototransduction","8/709","47/18057",0.00043946901550877,0.0175699712400406,0.0162557275841876,"436716/550575/101882119/557053/30582/568691/30503/360151",8
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","9/709","61/18057",0.000587158866115311,0.0226136103120023,0.0209220996383392,"406404/335716/30084/559659/402883/326977/81541/798291/570370",9
"GO:0009308","BP","GO:0009308","amine metabolic process","8/709","49/18057",0.000588247992108114,0.0226136103120023,0.0209220996383392,"555401/541429/431716/641560/790945/368270/571967/266721",8
"GO:0016054","BP","GO:0016054","organic acid catabolic process","16/709","161/18057",0.000611417568336522,0.0226337725760131,0.0209407537537479,"450052/436664/558601/563642/436754/449677/561410/556445/393147/431754/393315/378727/415102/436852/445287/571967",16
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","16/709","161/18057",0.000611417568336522,0.0226337725760131,0.0209407537537479,"450052/436664/558601/563642/436754/449677/561410/556445/393147/431754/393315/378727/415102/436852/445287/571967",16
"GO:0006570","BP","GO:0006570","tyrosine metabolic process","4/709","11/18057",0.000623555354462867,0.0226634027922049,0.0209681676132298,"436754/561410/445287/58074",4
"GO:0015850","BP","GO:0015850","organic hydroxy compound transport","11/709","88/18057",0.000646887162309414,0.0230915613831521,0.0213642997025872,"571189/30077/557317/556979/563054/447807/436686/564868/570191/63999/393329",11
"GO:1902652","BP","GO:1902652","secondary alcohol metabolic process","10/709","75/18057",0.000675470893775603,0.0233183249566946,0.0215741012342552,"336673/445281/394148/692332/436600/100873093/564868/63999/565876/402831",10
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","8/709","50/18057",0.000676569708598443,0.0233183249566946,0.0215741012342552,"335716/30084/559659/402883/326977/81541/798291/570370",8
"GO:1901606","BP","GO:1901606","alpha-amino acid catabolic process","10/709","78/18057",0.000922908279150035,0.0312693838986597,0.0289304165292884,"436664/558601/563642/436754/561410/556445/393315/436852/445287/571967",10
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","6/709","30/18057",0.00095021737126103,0.03165807541918,0.0292900337071163,"559659/402883/326977/81541/798291/570370",6
"GO:0010817","BP","GO:0010817","regulation of hormone levels","12/709","107/18057",0.00100016543891248,0.0324782229805144,0.030048833773078,"556575/393761/100000558/100141334/791484/449556/415102/259257/266961/266721/378440/322529",12
"GO:0050905","BP","GO:0050905","neuromuscular process","8/709","53/18057",0.00100732857668429,0.0324782229805144,0.030048833773078,"335756/751665/100002038/564412/492493/558627/436902/445029",8
"GO:1901605","BP","GO:1901605","alpha-amino acid metabolic process","15/709","154/18057",0.00109910357221219,0.0348747308071772,0.0322660814766385,"436664/558601/563642/436754/561410/100000775/79378/556445/393315/402904/641560/436852/445287/571967/58074",15
"GO:0003009","BP","GO:0003009","skeletal muscle contraction","6/709","31/18057",0.00113962465404391,0.0350478412835964,0.0324262431927958,"751665/100002038/492493/558627/436902/445029",6
"GO:0034308","BP","GO:0034308","primary alcohol metabolic process","6/709","31/18057",0.00113962465404391,0.0350478412835964,0.0324262431927958,"556575/393761/550422/449556/378440/322529",6
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","11/709","95/18057",0.00123251027195712,0.0373301217218526,0.0345378077803613,"406404/335716/792692/560753/30084/559659/402883/326977/81541/798291/570370",11
"GO:0006123","BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","4/709","13/18057",0.00126875419683439,0.0378543229771933,0.035022798489207,"326962/393776/336118/494577",4
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process","24/709","313/18057",0.00143778889679122,0.0422667647747889,0.0391051871774329,"550420/406404/450052/436604/794259/335716/792692/558601/560753/30084/449556/559659/393629/100330921/402883/557032/402867/553701/326977/81541/798291/553804/571967/570370",24
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","11/709","97/18057",0.00146315062325966,0.0423889579115371,0.0392182401993474,"406404/335716/792692/560753/30084/559659/402883/326977/81541/798291/570370",11
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","56/768","281/18405",6.21482560525633e-23,2.01360349610305e-20,1.74669309116151e-20,"393781/794625/100000862/393821/393700/555812/796997/393497/100141351/436985/436640/415243/436768/100000992/445122/282678/554103/326962/447913/554154/436771/445129/559659/563476/554125/393776/406436/449837/406306/569770/100190888/393777/799873/406726/402883/100334510/541328/100170826/393688/393764/556538/641319/326977/548335/573689/336118/81541/559504/798291/494577/550408/406541/562219/445042/100332034/570370",56
"GO:0070469","CC","GO:0070469","respirasome","31/768","80/18405",1.94815768465742e-22,3.15601544914502e-20,2.73767422001858e-20,"393781/393821/393700/796997/393497/415243/436768/100000992/445122/393478/554103/326962/447913/554154/445129/563476/554125/393776/406306/436968/569770/406726/100150991/541328/100170826/393764/556538/573689/562219/445042/100332034",31
"GO:0019866","CC","GO:0019866","organelle inner membrane","58/768","311/18405",3.34406123031454e-22,3.6115861287397e-20,3.13285736313678e-20,"393781/794625/100000862/393821/393700/393952/555812/796997/393497/100141351/751759/436985/436640/415243/436768/100000992/445122/282678/554103/326962/447913/554154/436771/445129/559659/563476/554125/393776/406436/449837/406306/569770/100190888/393777/799873/406726/402883/100334510/541328/100170826/393688/393764/556538/641319/326977/548335/573689/336118/81541/559504/798291/494577/550408/406541/562219/445042/100332034/570370",58
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","35/768","118/18405",1.04772925145037e-20,8.48660693674799e-19,7.36167658255917e-19,"393781/794625/100000862/393821/393700/796997/393497/415243/436768/100000992/445122/326962/447913/554154/445129/559659/554125/393776/449837/406306/393777/406726/402883/541328/393764/556538/641319/326977/548335/573689/81541/798291/562219/445042/570370",35
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","44/768","199/18405",4.1062489256549e-20,2.62000762985179e-18,2.27271617014434e-18,"393781/794625/100000862/393821/393700/553711/796997/393497/394122/415243/436768/100000992/445122/326962/447913/447915/554154/751639/445129/559659/554125/393776/449837/406306/619204/393777/406726/402883/565937/541328/393764/556538/641319/326977/548335/573689/81541/557789/798291/768305/447873/562219/445042/570370",44
"GO:0098803","CC","GO:0098803","respiratory chain complex","27/768","68/18405",4.85186598120703e-20,2.62000762985179e-18,2.27271617014434e-18,"393781/393821/393700/796997/393497/415243/436768/100000992/445122/393478/326962/447913/554154/445129/554125/393776/406306/436968/569770/406726/100150991/541328/393764/556538/573689/562219/445042",27
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","26/768","65/18405",1.91626978720258e-19,8.8695915864805e-18,7.69389523583591e-18,"393781/393821/393700/796997/393497/415243/436768/100000992/445122/554103/326962/447913/554154/445129/563476/554125/393776/406306/406726/541328/100170826/393764/556538/573689/562219/445042",26
"GO:0005740","CC","GO:0005740","mitochondrial envelope","65/768","441/18405",4.42677819383809e-19,1.79284516850443e-17,1.55519707599312e-17,"393781/794625/100000862/393821/393700/555812/796997/393497/100141351/100538337/799515/436985/436640/415243/436768/100000992/445122/282678/554103/326962/449677/447913/554154/436771/445129/559659/563476/554125/568423/393776/406436/751728/449837/406306/569770/100190888/393777/799873/406726/100536712/402883/100334510/541328/100170826/393688/393764/556538/406310/641319/402792/326977/548335/573689/336118/81541/559504/798291/494577/550408/406541/562219/63999/445042/100332034/570370",65
"GO:0031966","CC","GO:0031966","mitochondrial membrane","62/768","412/18405",1.05547561301606e-18,3.79971220685781e-17,3.29604665117296e-17,"393781/794625/100000862/393821/393700/555812/796997/393497/100141351/799515/436985/436640/415243/436768/100000992/445122/282678/554103/326962/449677/447913/554154/436771/445129/559659/563476/554125/568423/393776/406436/751728/449837/406306/569770/100190888/393777/799873/406726/402883/100334510/541328/100170826/393688/393764/556538/406310/641319/402792/326977/548335/573689/336118/81541/559504/798291/494577/550408/406541/562219/445042/100332034/570370",62
"GO:0005747","CC","GO:0005747","mitochondrial respiratory chain complex I","17/768","37/18405",2.15328377104443e-14,6.34239947107633e-13,5.50169154898434e-13,"393781/393821/393700/796997/393497/415243/100000992/445122/447913/554125/406306/541328/393764/556538/573689/562219/445042",17
"GO:0045271","CC","GO:0045271","respiratory chain complex I","17/768","37/18405",2.15328377104443e-14,6.34239947107633e-13,5.50169154898434e-13,"393781/393821/393700/796997/393497/415243/100000992/445122/447913/554125/406306/541328/393764/556538/573689/562219/445042",17
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","17/768","38/18405",3.74635584524245e-14,1.01151607821546e-12,8.7743597428047e-13,"393781/393821/393700/796997/393497/415243/100000992/445122/447913/554125/406306/541328/393764/556538/573689/562219/445042",17
"GO:1990204","CC","GO:1990204","oxidoreductase complex","22/768","79/18405",6.86839718529622e-13,1.71181591387383e-11,1.48490854127457e-11,"393781/393821/393700/796997/393497/415243/436768/100000992/445122/447913/554154/445129/554125/406306/541328/393764/556538/573689/436852/550404/562219/445042",22
"GO:0016324","CC","GO:0016324","apical plasma membrane","19/768","102/18405",3.77765376182439e-08,8.74257013450787e-07,7.58371093539181e-07,"100005630/58148/101886177/100009638/568241/557317/557269/560649/431714/568258/399488/100301982/359838/792274/793454/436636/566852/768195/393329",19
"GO:0045177","CC","GO:0045177","apical part of cell","20/768","113/18405",4.0876317965579e-08,8.82928468056506e-07,7.65893115565585e-07,"100005630/58148/101886177/100009638/568241/557317/553434/557269/560649/431714/568258/399488/100301982/359838/792274/793454/436636/566852/768195/393329",20
"GO:0070069","CC","GO:0070069","cytochrome complex","9/768","26/18405",6.0320006396864e-07,1.2214801295365e-05,1.0595685334186e-05,"436768/393478/326962/554154/393776/436968/569770/406726/100150991",9
"GO:0045277","CC","GO:0045277","respiratory chain complex IV","7/768","19/18405",6.95629351329024e-06,0.000132578770488591,0.000115004976349752,"393478/326962/393776/436968/569770/406726/100150991",7
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","7/768","23/18405",2.92388893432655e-05,0.000526300008178779,0.00045653704413169,"794625/559659/402883/326977/81541/798291/570370",7
"GO:0000313","CC","GO:0000313","organellar ribosome","11/768","61/18405",3.85624915406629e-05,0.000614030662503461,0.000532638683848031,"503593/553711/394122/447915/751639/751640/619204/565937/557789/768305/447873",11
"GO:0005761","CC","GO:0005761","mitochondrial ribosome","11/768","61/18405",3.85624915406629e-05,0.000614030662503461,0.000532638683848031,"503593/553711/394122/447915/751639/751640/619204/565937/557789/768305/447873",11
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","7/768","24/18405",3.97982836807798e-05,0.000614030662503461,0.000532638683848031,"794625/559659/402883/326977/81541/798291/570370",7
"GO:0005861","CC","GO:0005861","troponin complex","7/768","26/18405",7.03175995898003e-05,0.00103558646668615,0.000898315745955822,"751665/100002038/492493/558627/436902/100331199/445029",7
"GO:0001750","CC","GO:0001750","photoreceptor outer segment","8/768","39/18405",0.000172609138071574,0.00243153742326913,0.0021092283691126,"567911/436716/393629/100330921/30582/568691/30503/360151",8
"GO:0005903","CC","GO:0005903","brush border","5/768","14/18405",0.000182498991396352,0.00246373638385075,0.00213715924135202,"58148/560649/568258/322493/359838",5
"GO:0097733","CC","GO:0097733","photoreceptor cell cilium","8/768","44/18405",0.000413651454802419,0.00497474413016689,0.00431532385560286,"567911/436716/393629/100330921/30582/568691/30503/360151",8
"GO:0016469","CC","GO:0016469","proton-transporting two-sector ATPase complex","9/768","55/18405",0.000415120451541376,0.00497474413016689,0.00431532385560286,"100003139/794625/559659/402883/436799/326977/81541/798291/570370",9
"GO:0005865","CC","GO:0005865","striated muscle thin filament","7/768","34/18405",0.000429916159397139,0.00497474413016689,0.00431532385560286,"751665/100002038/492493/558627/436902/100331199/445029",7
"GO:0036379","CC","GO:0036379","myofilament","7/768","34/18405",0.000429916159397139,0.00497474413016689,0.00431532385560286,"751665/100002038/492493/558627/436902/100331199/445029",7
"GO:0097731","CC","GO:0097731","9+0 non-motile cilium","8/768","45/18405",0.000484937941212154,0.00541792734319786,0.00469976153552251,"567911/436716/393629/100330921/30582/568691/30503/360151",8
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","5/768","17/18405",0.000508158400430358,0.00548811072464786,0.00476064185666335,"559659/402883/326977/81541/570370",5
"GO:0033177","CC","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","6/768","30/18405",0.00130210367876845,0.0136090836103541,0.0118051505002097,"100003139/559659/402883/326977/81541/570370",6
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","23/768","277/18405",0.00138925935666841,0.0140662509862676,0.0122017186917916,"393781/100000862/393821/393700/796997/393497/541382/557317/415243/436768/100000992/445122/447913/554154/554125/406306/541328/393764/556538/548335/573689/562219/445042",23
"GO:0098862","CC","GO:0098862","cluster of actin-based cell projections","6/768","31/18405",0.00155837089670243,0.0153003688039875,0.0132722497422504,"58148/560649/568258/322493/359838/564412",6
"GO:1990351","CC","GO:1990351","transporter complex","23/768","283/18405",0.00183729294050106,0.017070283423893,0.0148075557965544,"393781/100000862/393821/393700/796997/393497/541382/557317/415243/436768/100000992/445122/447913/554154/554125/406306/541328/393764/556538/548335/573689/562219/445042",23
"GO:0005840","CC","GO:0005840","ribosome","17/768","184/18405",0.00184401209826005,0.017070283423893,0.0148075557965544,"503593/553711/445040/394122/393738/767758/447915/751639/405889/751640/677743/619204/565937/568235/557789/768305/447873",17
"GO:0000276","CC","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","4/768","14/18405",0.00215340557393293,0.0193806501653963,0.0168116750947395,"559659/326977/81541/570370",4
"GO:0097730","CC","GO:0097730","non-motile cilium","8/768","58/18405",0.00267971851404367,0.0234656432040581,0.0203551875746703,"567911/436716/393629/100330921/30582/568691/30503/360151",8
"GO:0005758","CC","GO:0005758","mitochondrial intermembrane space","6/768","38/18405",0.00456308037602135,0.0379086677392543,0.0328837371227449,"393821/393700/100538337/100536712/100170826/63999",6
"GO:0031970","CC","GO:0031970","organelle envelope lumen","6/768","38/18405",0.00456308037602135,0.0379086677392543,0.0328837371227449,"393821/393700/100538337/100536712/100170826/63999",6
"GO:0005759","CC","GO:0005759","mitochondrial matrix","14/768","153/18405",0.00488301589077162,0.0395524287152501,0.0343096116535796,"406404/503593/553711/394122/393971/447915/751639/751640/619204/565937/557789/569482/768305/447873",14
"GO:0004497","MF","GO:0004497","monooxygenase activity","27/708","143/17701",1.43375943295899e-11,8.15809117353667e-09,6.82167645997332e-09,"558851/553969/562008/405819/140634/336673/445281/394148/692332/492484/569245/100034406/100034366/393592/431734/768288/393484/449790/791518/492759/324340/559504/100004700/415103/84039/565876/402831",27
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","28/708","164/17701",7.31528254516379e-11,2.0811978840991e-08,1.74026721600739e-08,"558851/393558/553969/562008/100000711/140634/445281/394148/692332/492484/569245/100034406/100034366/393592/431734/768288/393484/449790/791518/492759/324340/100000079/566714/792763/100004700/571967/565876/402831",28
"GO:0020037","MF","GO:0020037","heme binding","27/708","156/17701",1.15903121788034e-10,2.19829587657971e-08,1.83818284379619e-08,"558851/393558/553969/562008/100000711/140634/445281/394148/692332/492484/569245/100034406/100034366/393592/431734/768288/393484/449790/791518/492759/324340/100000079/792763/100004700/571967/565876/402831",27
"GO:0005506","MF","GO:0005506","iron ion binding","28/708","184/17701",1.13929249678526e-09,1.62064357667703e-07,1.35515844354457e-07,"558851/553969/562008/405819/140634/336673/445281/394148/692332/492484/569245/100034406/100034366/393592/393629/431734/768288/393484/449790/100006523/492759/324340/565942/100004700/415103/84039/565876/402831",28
"GO:0015453","MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","14/708","52/17701",1.01861896068914e-08,1.15918837726424e-06,9.69296358382084e-07,"393821/796997/436768/554103/326962/554154/563476/393776/406306/569770/556538/336118/494577/445042",14
"GO:0015078","MF","GO:0015078","proton transmembrane transporter activity","19/708","101/17701",1.61759417701102e-08,1.53401847786545e-06,1.28272380352453e-06,"100003139/436618/436768/554103/326962/568258/554154/559659/563476/393776/569770/402883/436799/326977/336118/81541/798291/494577/570370",19
"GO:0009055","MF","GO:0009055","electron transfer activity","15/708","70/17701",8.61343519287113e-08,7.00149232106239e-06,5.85454542432745e-06,"393821/796997/436768/554103/326962/554154/445129/563476/393776/406306/569770/556538/336118/494577/445042",15
