"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04114","dre04114","Oocyte meiosis - Danio rerio (zebrafish)","5/268","151/7368",0.648014737515807,0.944250046094462,0.877012426713123,"565241/100005268/245701/557026/567611",5
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","11/268","332/7368",0.669639130743684,0.946822872326929,0.879402048600863,"57934/561737/65236/100332402/767738/100329883/556371/562529/570772/562750/415099",11
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","3/268","94/7368",0.670688010187708,0.946822872326929,0.879402048600863,"568835/30530/100333227",3
"dre00220","dre00220","Arginine biosynthesis - Danio rerio (zebrafish)","1/268","31/7368",0.683675245847841,0.946822872326929,0.879402048600863,"60658",1
"dre04530","dre04530","Tight junction - Danio rerio (zebrafish)","8/268","248/7368",0.686910711296008,0.946822872326929,0.879402048600863,"57934/403310/65236/386966/100536545/101884950/572074/558752",8
"dre04110","dre04110","Cell cycle - Danio rerio (zebrafish)","6/268","191/7368",0.700497291158862,0.952241783900608,0.884435093406137,"327226/559273/323299/560317/565038/58092",6
"dre00052","dre00052","Galactose metabolism - Danio rerio (zebrafish)","1/268","34/7368",0.717092257588314,0.952241783900608,0.884435093406137,"568001",1
"dre01040","dre01040","Biosynthesis of unsaturated fatty acids - Danio rerio (zebrafish)","1/268","35/7368",0.727430309806248,0.952241783900608,0.884435093406137,"100150288",1
"dre00410","dre00410","beta-Alanine metabolism - Danio rerio (zebrafish)","1/268","36/7368",0.73739194583133,0.952241783900608,0.884435093406137,"100329827",1
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","1/268","39/7368",0.765152467578134,0.952241783900608,0.884435093406137,"30207",1
"dre03008","dre03008","Ribosome biogenesis in eukaryotes - Danio rerio (zebrafish)","2/268","76/7368",0.770029882350551,0.952241783900608,0.884435093406137,"30502/100037361",2
"dre00564","dre00564","Glycerophospholipid metabolism - Danio rerio (zebrafish)","3/268","112/7368",0.780138353487432,0.952241783900608,0.884435093406137,"406265/794598/100137124",3
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","2/268","78/7368",0.782402867372588,0.952241783900608,0.884435093406137,"100150288/100333227",2
"dre00062","dre00062","Fatty acid elongation - Danio rerio (zebrafish)","1/268","42/7368",0.789988188087502,0.952241783900608,0.884435093406137,"100150288",1
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","5/268","180/7368",0.790157127930343,0.952241783900608,0.884435093406137,"561737/65236/404211/572074/245700",5
"dre00010","dre00010","Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)","2/268","81/7368",0.799869675600423,0.952241783900608,0.884435093406137,"566398/568001",2
"dre00051","dre00051","Fructose and mannose metabolism - Danio rerio (zebrafish)","1/268","45/7368",0.812206227444636,0.952241783900608,0.884435093406137,"568001",1
"dre04672","dre04672","Intestinal immune network for IgA production - Danio rerio (zebrafish)","1/268","45/7368",0.812206227444636,0.952241783900608,0.884435093406137,"100331333",1
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","5/268","197/7368",0.850116421720979,0.970956960220182,0.901817610111624,"65236/445474/100329124/337413/570772",5
"dre01230","dre01230","Biosynthesis of amino acids - Danio rerio (zebrafish)","2/268","92/7368",0.853737169711358,0.970956960220182,0.901817610111624,"407673/568001",2
"dre01200","dre01200","Carbon metabolism - Danio rerio (zebrafish)","3/268","134/7368",0.87146792146095,0.970956960220182,0.901817610111624,"407673/566398/568001",3
"dre00071","dre00071","Fatty acid degradation - Danio rerio (zebrafish)","1/268","56/7368",0.875420959343478,0.970956960220182,0.901817610111624,"100333227",1
"dre00270","dre00270","Cysteine and methionine metabolism - Danio rerio (zebrafish)","1/268","59/7368",0.888625005647955,0.970956960220182,0.901817610111624,"553187",1
"dre00514","dre00514","Other types of O-glycan biosynthesis - Danio rerio (zebrafish)","1/268","60/7368",0.892708806234403,0.970956960220182,0.901817610111624,"559736",1
"dre04623","dre04623","Cytosolic DNA-sensing pathway - Danio rerio (zebrafish)","1/268","63/7368",0.904086519614611,0.970956960220182,0.901817610111624,"415099",1
"dre00860","dre00860","Porphyrin metabolism - Danio rerio (zebrafish)","1/268","67/7368",0.91740849425458,0.970956960220182,0.901817610111624,"100329531",1
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","1/268","68/7368",0.920440205463972,0.970956960220182,0.901817610111624,"60658",1
"dre00240","dre00240","Pyrimidine metabolism - Danio rerio (zebrafish)","1/268","69/7368",0.923361030797624,0.970956960220182,0.901817610111624,"550560",1
"dre03010","dre03010","Ribosome - Danio rerio (zebrafish)","2/268","138/7368",0.963839425956269,0.983537871818932,0.913502667324086,"100037361/553799",2
"dre03040","dre03040","Spliceosome - Danio rerio (zebrafish)","2/268","143/7368",0.969132665450698,0.983537871818932,0.913502667324086,"573376/560210",2
"dre03015","dre03015","mRNA surveillance pathway - Danio rerio (zebrafish)","1/268","99/7368",0.975107277592481,0.983537871818932,0.913502667324086,"558752",1
"dre01232","dre01232","Nucleotide metabolism - Danio rerio (zebrafish)","1/268","110/7368",0.983537871818932,0.983537871818932,0.913502667324086,"550560",1
"dre03013","dre03013","Nucleocytoplasmic transport - Danio rerio (zebrafish)","1/268","110/7368",0.983537871818932,0.983537871818932,0.913502667324086,"568424",1
